ID,ak,mode
46_0958,18796,car
46_0974,1632,car
46_0975,697,car
46_0983,14698,car
46_0986,114,car
47_1014,6967,car
47_1025,2337,car
47_1037,1470,car
47_1040,2745,car
47_1046,1083,car
47_1051,7041,car
47_1054,493,car
47_1062,5650,car
47_1077,6377,car
47_1090,10614,car
47_1091,9465,car
47_1104,1004,car
47_1121,769,car
47_1127,219,car
47_1137,703,car
47_1141,17771,car
47_1148,114,car
47_1181,217,car
47_1193,240,car
48_1233,550,car
48_1240,3659,car
48_1244,7137,car
48_1245,85,car
48_1260,147,car
48_1267,121,car
48_1298,5260,car
48_1299,15195,car
48_1302,28471,car
48_1304,28253,car
48_1338,1558,car
48_1366,27295,car
48_1367,13461,car
48_1373,636,car
48_1374,2070,car
49_1390,27912,car
49_1393,43,car
49_1400,9850,car
49_1406,559,car
49_1408,1253,car
49_1411,2538,car
49_1421,35292,car
49_1434,20021,car
49_1437,29482,car
49_1438,5384,car
49_1444,12714,car
49_1459,13624,car
49_1476,378,car
49_1479,1629,car
49_1485,7986,car
49_1498,3137,car
49_1507,23018,car
49_1511,1238,car
49_1516,1393,car
49_1529,2130,car
49_1531,2894,car
49_1537,2724,car
49_1538,17217,car
49_1554,4787,car
4_2241,1052,car
4_2242,14176,car
4_2243,6592,car
4_2248,11148,car
4_2251,5685,car
4_2253,26798,car
4_2255,32,car
4_2265,1897,car
4_2276,968,car
4_2281,220,car
4_2292,1267,car
4_2293,19105,car
4_2296,10257,car
4_2298,11158,car
4_2299,3373,car
4_2312,6938,car
4_2315,9279,car
4_2326,1085,car
4_2328,2469,car
4_2332,35579,car
4_2334,23156,car
4_2338,25607,car
4_2339,33130,car
4_2345,982,car
4_2346,232,car
4_2349,21077,car
4_2350,780,car
4_2351,10388,car
4_2353,1590,car
4_2364,1681,car
4_2365,249,car
4_2369,33967,car
4_2370,1019,car
4_2373,8840,car
4_2393,9020,car
4_2404,1137,car
4_2410,3780,car
50_1591,34754,car
50_1594,383,car
50_1597,2253,car
50_1624,29514,car
50_1631,25864,car
50_1641,26331,car
50_1643,4806,car
50_1647,956,car
50_1649,7917,car
50_1663,2770,car
50_1670,32688,car
50_1682,2954,car
50_1690,18986,car
50_1696,360,car
50_1704,4186,car
50_1708,10269,car
50_1724,14691,car
50_1742,468,car
50_1744,1316,car
50_1773,4450,car
5_2419,450,car
5_2443,29824,car
5_2450,2920,car
5_2457,38634,car
5_2459,23706,car
5_2460,1747,car
5_2461,947,car
5_2462,305,car
5_2472,1839,car
5_2476,7107,car
5_2479,9920,car
5_2493,31308,car
5_2504,16205,car
5_2505,872,car
5_2506,11437,car
5_2507,5889,car
5_2508,1124,car
5_2511,224,car
5_2514,10335,car
5_2518,685,car
5_2520,6405,car
5_2528,13442,car
5_2549,29770,car
5_2550,1577,car
5_2551,1708,car
5_2565,780,car
5_2573,768,car
5_2576,6251,car
5_2580,2405,car
5_2586,854,car
6_2613,967,car
6_2617,22343,car
6_2619,507,car
6_2635,22456,car
6_2639,2689,car
6_2641,264,car
6_2665,6122,car
6_2667,13746,car
6_2670,3049,car
6_2696,1588,car
6_2697,33161,car
6_2698,3759,car
6_2701,6305,car
6_2721,6914,car
6_2731,1480,car
6_2735,24249,car
6_2738,9669,car
6_2750,14404,car
6_2752,522,car
6_2766,1666,car
6_2775,9976,car
6_2785,19643,car
7_2803,784,car
7_2812,30000,car
7_2825,4397,car
7_2828,4930,car
7_2829,95,car
7_2831,969,car
7_2834,5614,car
7_2854,29608,car
7_2859,4196,car
7_2875,396,car
7_2877,6886,car
7_2908,1332,car
7_2911,169,car
7_2913,1527,car
7_2916,617,car
7_2923,9991,car
7_2933,1671,car
7_2941,15208,car
7_2959,246,car
7_2965,18946,car
7_2972,5599,car
7_2973,8,car
42_0590,0,car
46_0806,0,car
48_1203,0,car
42_0591,0,car
42_0566,0,car
12_3379,0,car
42_0462,0,car
2_1952,0,car
5_2575,0,car
7_2870,0,car
2_1908,0,car
10_3154,0,car
13_3581,0,car
6_2610,0,car
42_0109,0,car
42_0416,0,car
6_2777,0,car
10_3187,0,car
12_3280,0,car
46_0996,0,car
4_2287,0,car
6_2753,0,car
42_0127,0,car
50_1698,0,car
4_2305,0,car
42_0202,0,car
5_2427,0,car
2_1990,0,car
16_4076,0,car
2_1886,0,car
16_3838,0,car
13_3444,0,car
42_0325,0,car
48_1217,0,car
42_0149,0,car
7_2889,0,car
3_2032,0,car
42_0206,0,car
12_3320,0,car
47_1049,0,car
49_1583,0,car
13_3566,0,car
46_0823,0,car
4_2267,0,car
45_620,0,car
46_0963,0,car
4_2237,0,car
6_2680,0,car
5_2437,0,car
3_2189,0,car
47_1140,0,car
2_1876,0,car
12_3254,0,car
45_750,0,car
3_2126,0,car
48_1309,0,car
49_1517,0,car
46_0992,0,car
6_2611,0,car
4_2335,0,car
2_1878,0,car
5_2574,0,car
12_3220,0,car
42_0394,0,car
5_2593,0,car
4_2235,0,car
5_2475,0,car
10_3166,0,car
48_1214,0,car
46_0802,0,car
46_0993,0,car
10_3022,0,car
7_2975,0,car
5_2469,0,car
16_3972,0,car
42_0310,0,car
4_2238,0,car
7_2880,0,car
47_1183,0,car
2_1866,0,car
16_4068,0,car
45_737,0,car
6_2661,0,car
10_3006,0,car
42_0091,0,car
16_3948,0,car
42_0186,0,car
3_2095,0,car
10_3167,0,car
6_2709,0,car
48_1205,0,car
4_2280,0,car
50_1667,0,car
12_3193,0,car
47_1167,0,car
5_2455,0,car
3_2188,0,car
6_2756,0,car
4_2246,0,car
2_1811,0,car
42_0124,0,car
7_2919,0,car
50_1665,0,car
7_2896,0,car
42_0115,0,car
4_2407,0,car
3_2211,0,car
3_2093,0,car
3_2111,0,car
45_664,0,car
5_2546,0,car
12_3390,0,car
49_1430,0,car
42_0179,0,car
45_626,0,car
42_0113,0,car
42_0173,0,car
3_2068,0,car
7_2804,0,car
46_0954,0,car
12_3378,0,car
10_3099,0,car
4_2270,0,car
42_0523,0,car
2_1796,0,car
2_2017,0,car
13_3416,0,car
2_1801,0,car
45_708,0,car
3_2080,0,car
42_0130,0,car
4_2355,0,car
50_1767,0,car
4_2411,0,car
6_2705,0,car
42_0421,0,car
49_1540,0,car
5_2487,0,car
4_2342,0,car
10_3054,0,car
5_2531,0,car
46_0967,0,car
4_2286,0,car
7_2879,0,car
45_612,0,car
47_1086,0,car
42_0455,0,car
49_1584,0,car
7_2847,0,car
49_1547,0,car
10_3152,0,car
3_2106,0,car
46_0855,0,car
47_1162,0,car
6_2669,0,car
42_0097,0,car
4_2319,0,car
46_0863,0,car
12_3240,0,car
4_2230,0,car
2_1957,0,car
4_2307,0,car
4_2414,0,car
6_2742,0,car
10_3144,0,car
45_712,0,car
12_3285,0,car
2_1962,0,car
42_0002,0,car
12_3313,0,car
12_3317,0,car
46_0994,0,car
2_1852,0,car
4_2397,0,car
48_1359,0,car
42_0152,0,car
45_726,0,car
6_2758,0,car
45_638,0,car
50_1748,0,car
10_3063,0,car
46_0890,0,car
49_1478,0,car
12_3393,0,car
3_2185,0,car
46_0903,0,car
16_4040,0,car
42_0409,0,car
42_0163,0,car
49_1451,0,car
46_0889,0,car
13_3519,0,car
42_0101,0,car
46_0810,0,car
42_0410,0,car
7_2821,0,car
2_1945,0,car
4_2250,0,car
47_1149,0,car
10_3093,0,car
12_3189,0,car
2_1977,0,car
50_1755,0,car
3_2104,0,car
42_0212,0,car
13_3454,0,car
4_2416,0,car
49_1503,0,car
2_1865,0,car
46_0904,0,car
48_1289,0,car
2_1891,0,car
12_3215,0,car
4_2377,0,car
47_1159,0,car
7_2964,0,car
12_3294,0,car
10_3183,0,car
3_2148,0,car
13_3560,0,car
49_1581,0,car
5_2442,0,car
50_1761,0,car
12_3306,0,car
2_1972,0,car
12_3297,0,car
4_2380,0,car
7_2849,0,car
5_2562,0,car
10_3053,0,car
50_1593,0,car
6_2737,0,car
6_2764,0,car
5_2558,0,car
48_1340,0,car
47_1078,0,car
10_2982,0,car
2_1868,0,car
42_0487,0,car
4_2379,0,car
2_1816,0,car
12_3211,0,car
45_598,0,car
3_2156,0,car
42_0121,0,car
50_1680,0,car
12_3329,0,car
50_1679,0,car
6_2638,0,car
12_3334,0,car
48_1282,0,car
5_2444,0,car
12_3256,0,car
6_2768,0,car
5_2458,0,car
50_1686,0,car
12_3324,0,car
47_1052,0,car
5_2453,0,car
10_3155,0,car
42_0457,0,car
42_0207,0,car
5_2543,0,car
5_2431,0,car
7_2799,0,car
3_2096,0,car
46_0931,0,car
10_2989,0,car
42_0193,0,car
12_3228,0,car
13_3497,0,car
45_690,0,car
3_2146,0,car
42_0208,0,car
6_2759,0,car
16_4067,0,car
42_0151,0,car
42_0213,0,car
10_3171,0,car
45_743,0,car
4_2336,0,car
4_2396,0,car
7_2924,0,car
46_0843,0,car
49_1524,0,car
10_3064,0,car
45_707,0,car
42_0123,0,car
46_0937,0,car
7_2892,0,car
46_0849,0,car
4_2383,0,car
46_1007,0,car
2_1827,0,car
2_1859,0,car
12_3195,0,car
4_2245,0,car
6_2712,0,car
42_0196,0,car
13_3504,0,car
50_1603,0,car
3_2199,0,car
48_1372,0,car
50_1617,0,car
50_1616,0,car
3_2151,0,car
4_2398,0,car
49_1505,0,car
50_1782,0,car
47_1192,0,car
42_0368,0,car
42_0162,0,car
47_1089,0,car
3_2081,0,car
47_1125,0,car
14_3644,0,car
49_1563,0,car
12_3372,0,car
42_0388,0,car
6_2715,0,car
2_1970,0,car
42_0211,0,car
42_0384,0,car
6_2651,0,car
42_0439,0,car
42_0108,0,car
4_2244,0,car
4_2395,0,car
12_3376,0,car
45_694,0,car
2_2010,0,car
46_0919,0,car
6_2782,0,car
42_0197,0,car
48_1238,0,car
5_2424,0,car
7_2824,0,car
6_2607,0,car
4_2361,0,car
42_0448,0,car
50_1732,0,car
42_0496,0,car
4_2371,0,car
5_2559,0,car
10_3069,0,car
42_0396,0,car
3_2155,0,car
10_3149,0,car
5_2440,0,car
5_2489,0,car
6_2615,0,car
49_1555,0,car
50_1750,0,car
12_3204,0,car
5_2494,0,car
45_768,0,car
3_2100,0,car
3_2175,0,car
16_3848,0,car
45_674,0,car
42_0154,0,car
42_0420,0,car
3_2133,0,car
5_2589,0,car
47_1015,0,car
42_0517,0,car
47_1050,0,car
16_3853,0,car
42_0164,0,car
3_2135,0,car
42_0567,0,car
10_3049,0,car
6_2675,0,car
3_2153,0,car
10_3159,0,car
7_2788,0,car
12_3210,0,car
16_4075,0,car
49_1522,0,car
2_1892,0,car
10_3101,0,car
50_1587,0,car
5_2552,0,car
2_1898,0,car
12_3188,0,car
4_2252,0,car
42_0072,0,car
4_2297,0,car
16_3872,0,car
47_1057,0,car
2_1946,0,car
42_0187,0,car
46_0878,0,car
49_1441,0,car
5_2547,0,car
12_3199,0,car
13_3460,0,car
10_3016,0,car
5_2445,0,car
16_4097,0,car
46_0808,0,car
5_2521,0,car
2_1914,0,car
50_1725,0,car
5_2492,0,car
6_2676,0,car
10_3184,0,car
46_0891,0,car
4_2273,0,car
46_0990,0,car
42_0485,0,car
2_1923,0,car
47_1064,0,car
13_3502,0,car
6_2745,0,car
5_2584,0,car
48_1312,0,car
46_0882,0,car
2_1837,0,car
6_2674,0,car
10_3043,0,car
42_0459,0,car
46_0915,0,car
16_3989,0,car
5_2420,0,car
5_2536,0,car
16_4080,0,car
3_2209,0,car
12_3345,0,car
3_2178,0,car
10_3139,0,car
7_2974,0,car
16_4102,0,car
50_1650,0,car
42_0423,0,car
5_2495,0,car
16_3908,0,car
49_1389,0,car
4_2356,0,car
7_2830,0,car
4_2352,0,car
46_0840,0,car
5_2497,0,car
48_1292,0,car
6_2662,0,car
3_2186,0,car
42_0327,0,car
48_1290,0,car
42_0438,0,car
6_2636,0,car
12_3279,0,car
13_3571,0,car
42_0314,0,car
7_2897,0,car
2_1822,0,car
12_3223,0,car
5_2532,0,car
47_1065,0,car
4_2389,0,car
6_2649,0,car
48_1329,0,car
4_2294,0,car
10_3056,0,car
6_2643,0,car
13_3496,0,car
42_0385,0,car
3_2218,0,car
6_2761,0,car
4_2277,0,car
7_2970,0,car
2_1942,0,car
4_2372,0,car
45_691,0,car
5_2522,0,car
12_3239,0,car
47_1085,0,car
45_631,0,car
5_2488,0,car
46_0925,0,car
12_3321,0,car
49_1443,0,car
6_2614,0,car
7_2920,0,car
4_2327,0,car
12_3218,0,car
3_2070,0,car
46_0839,0,car
46_0980,0,car
12_3319,0,car
10_2980,10934,pt
10_3003,128,pt
10_3014,3930,pt
10_3018,239,pt
10_3034,13397,pt
10_3038,190,pt
10_3040,960,pt
10_3047,2275,pt
10_3055,2144,pt
10_3065,697,pt
10_3078,367,pt
10_3102,17706,pt
10_3109,1473,pt
10_3112,869,pt
10_3125,11713,pt
10_3145,601,pt
10_3147,44,pt
10_3148,8568,pt
10_3170,257,pt
10_3173,13666,pt
10_3178,6741,pt
10_3179,25,pt
10_3181,3660,pt
10_3185,279,pt
10_3186,155,pt
12_3142,6031,pt
12_3212,781,pt
12_3221,367,pt
12_3234,3075,pt
12_3273,2823,pt
12_3293,110,pt
12_3303,3267,pt
12_3311,9826,pt
12_3336,12,pt
12_3342,6,pt
12_3353,8798,pt
12_3355,32,pt
12_3358,1230,pt
12_3359,7265,pt
12_3362,4333,pt
12_3363,12868,pt
12_3365,13,pt
12_3391,4301,pt
13_3399,3253,pt
13_3409,57,pt
13_3417,4109,pt
13_3424,85,pt
13_3429,15962,pt
13_3431,216,pt
13_3433,509,pt
13_3438,2377,pt
13_3441,941,pt
13_3456,98,pt
13_3457,316,pt
13_3472,543,pt
13_3476,731,pt
13_3492,9021,pt
13_3520,380,pt
13_3539,602,pt
13_3548,214,pt
13_3590,116,pt
14_3612,19,pt
14_3618,16522,pt
14_3619,453,pt
14_3622,5682,pt
14_3624,14461,pt
14_3627,472,pt
14_3628,275,pt
14_3630,1492,pt
14_3631,1002,pt
14_3633,4779,pt
14_3639,6761,pt
14_3657,2112,pt
14_3660,2241,pt
14_3673,119,pt
14_3674,47,pt
14_3675,177,pt
14_3676,360,pt
14_3692,17016,pt
14_3695,10637,pt
14_3712,177,pt
14_3713,2767,pt
14_3720,903,pt
14_3724,2550,pt
14_3729,6007,pt
14_3735,6257,pt
14_3739,191,pt
14_3741,99,pt
14_3746,622,pt
16_3753,12183,pt
16_3793,2814,pt
16_3794,7715,pt
16_3797,18820,pt
16_3803,573,pt
16_3807,646,pt
16_3820,10515,pt
16_3823,29,pt
16_3828,16522,pt
16_3829,1216,pt
16_3835,5800,pt
16_3841,5609,pt
16_3842,7284,pt
16_3846,2152,pt
16_3851,82,pt
16_3856,305,pt
16_3862,10692,pt
16_3868,22,pt
16_3881,1905,pt
16_3887,287,pt
16_3891,2,pt
16_3892,135,pt
16_3893,852,pt
16_3894,957,pt
16_3900,165,pt
16_3906,6841,pt
16_3915,4339,pt
16_3918,408,pt
16_3919,3592,pt
16_3922,4558,pt
16_3924,15,pt
16_3927,218,pt
16_3934,15499,pt
16_3946,301,pt
16_3947,53,pt
16_3949,1748,pt
16_3954,604,pt
16_3961,2608,pt
16_3969,6959,pt
16_3970,777,pt
16_3971,19882,pt
16_3976,2205,pt
16_3983,3506,pt
16_3987,4949,pt
16_4000,57,pt
16_4006,4,pt
16_4007,457,pt
16_4008,140,pt
16_4020,57,pt
16_4021,595,pt
16_4024,597,pt
16_4032,8194,pt
16_4033,19672,pt
16_4034,14837,pt
16_4037,660,pt
16_4039,3364,pt
16_4041,3531,pt
16_4046,1387,pt
16_4057,7,pt
16_4059,8486,pt
16_4060,422,pt
16_4069,10,pt
16_4074,90,pt
16_4088,3187,pt
16_4091,737,pt
16_4099,19149,pt
16_4109,8714,pt
16_4110,5,pt
16_4111,166,pt
2_1800,1053,pt
2_1804,9823,pt
2_1806,2773,pt
2_1810,26,pt
2_1817,77,pt
2_1823,66,pt
2_1824,204,pt
2_1828,3142,pt
2_1830,659,pt
2_1851,79,pt
2_1854,2440,pt
2_1858,6139,pt
2_1864,123,pt
2_1875,3,pt
2_1881,368,pt
2_1890,650,pt
2_1893,803,pt
2_1895,182,pt
2_1901,417,pt
2_1902,2123,pt
2_1903,2396,pt
2_1911,130,pt
2_1925,3560,pt
2_1932,9419,pt
2_1939,8658,pt
2_1949,2586,pt
2_1958,113,pt
2_1959,14371,pt
2_1960,523,pt
2_1973,35,pt
2_1975,1294,pt
2_1979,10835,pt
2_1981,1830,pt
2_1992,3648,pt
2_2001,732,pt
2_2006,894,pt
2_2012,10622,pt
2_2018,396,pt
3_2035,650,pt
3_2041,9952,pt
3_2055,264,pt
3_2057,1367,pt
3_2058,21,pt
3_2061,938,pt
3_2063,17663,pt
3_2064,243,pt
3_2066,18004,pt
3_2092,8783,pt
3_2098,39,pt
3_2103,666,pt
3_2131,7,pt
3_2132,329,pt
3_2149,11214,pt
3_2167,185,pt
3_2170,2377,pt
3_2177,50,pt
3_2205,233,pt
3_2221,32,pt
3_2226,66,pt
42_0003,6211,pt
42_0015,12252,pt
42_0018,13006,pt
42_0021,335,pt
42_0030,15707,pt
42_0031,8229,pt
42_0035,27,pt
42_0054,4537,pt
42_0057,1838,pt
42_0059,6856,pt
42_0060,4449,pt
42_0067,616,pt
42_0068,108,pt
42_0073,1350,pt
42_0077,780,pt
42_0106,66,pt
42_0112,215,pt
42_0147,147,pt
42_0153,1,pt
42_0195,114,pt
42_0214,1123,pt
42_0220,596,pt
42_0233,153,pt
42_0234,91,pt
42_0235,1146,pt
42_0236,10204,pt
42_0237,1051,pt
42_0242,7273,pt
42_0246,623,pt
42_0250,7726,pt
42_0253,37,pt
42_0258,187,pt
42_0261,79,pt
42_0264,6566,pt
42_0265,674,pt
42_0273,6828,pt
42_0283,500,pt
42_0286,982,pt
42_0300,3749,pt
42_0326,21,pt
42_0350,206,pt
42_0355,149,pt
42_0356,861,pt
42_0360,235,pt
42_0370,1158,pt
42_0393,113,pt
42_0411,1108,pt
42_0419,16906,pt
42_0436,907,pt
42_0442,862,pt
42_0479,990,pt
42_0508,10548,pt
42_0529,8452,pt
42_0530,2054,pt
42_0534,4381,pt
42_0535,10,pt
42_0537,1507,pt
42_0542,3896,pt
42_0543,12736,pt
42_0551,11,pt
42_0562,951,pt
42_0565,23,pt
42_0574,3245,pt
42_0593,10961,pt
45_611,4358,pt
45_625,21,pt
45_627,14,pt
45_632,80,pt
45_637,8051,pt
45_640,5368,pt
45_641,5131,pt
45_646,371,pt
45_649,94,pt
45_651,120,pt
45_684,97,pt
45_699,1141,pt
45_717,1,pt
45_723,8,pt
45_725,139,pt
45_729,747,pt
45_751,2976,pt
45_774,634,pt
45_781,42,pt
45_782,1,pt
45_785,635,pt
45_786,2977,pt
46_0793,376,pt
46_0794,26,pt
46_0811,166,pt
46_0826,1913,pt
46_0827,19,pt
46_0836,373,pt
46_0846,301,pt
46_0856,226,pt
46_0857,15599,pt
46_0858,11079,pt
46_0861,175,pt
46_0864,73,pt
46_0869,3196,pt
46_0879,10571,pt
46_0880,270,pt
46_0883,6326,pt
46_0896,6715,pt
46_0898,3708,pt
46_0899,23,pt
46_0910,5246,pt
46_0913,43,pt
46_0930,14857,pt
46_0944,186,pt
46_0948,8041,pt
46_0965,10,pt
46_0966,1,pt
46_0973,3363,pt
46_0979,10284,pt
46_0991,8236,pt
46_0998,68,pt
46_1001,128,pt
46_1003,809,pt
46_1006,1527,pt
47_1010,263,pt
47_1013,16,pt
47_1021,63,pt
47_1024,189,pt
47_1027,74,pt
47_1033,327,pt
47_1034,12,pt
47_1056,3242,pt
47_1058,8,pt
47_1063,14421,pt
47_1067,268,pt
47_1069,36,pt
47_1076,48,pt
47_1094,172,pt
47_1096,211,pt
47_1109,4021,pt
47_1117,10,pt
47_1119,13825,pt
47_1133,6196,pt
47_1145,64,pt
47_1157,1778,pt
47_1158,44,pt
47_1164,1020,pt
47_1165,12,pt
48_1219,285,pt
48_1221,13620,pt
48_1224,53,pt
48_1227,17134,pt
48_1242,11611,pt
48_1249,5659,pt
48_1254,9536,pt
48_1256,20,pt
48_1263,351,pt
48_1285,438,pt
48_1287,1894,pt
48_1300,122,pt
48_1307,7,pt
48_1310,8912,pt
48_1317,142,pt
48_1318,89,pt
48_1328,1950,pt
48_1334,7535,pt
48_1345,32,pt
48_1354,6400,pt
48_1356,1450,pt
48_1360,164,pt
48_1362,18919,pt
48_1364,1252,pt
48_1376,15,pt
48_1382,2492,pt
49_1395,9823,pt
49_1397,10266,pt
49_1416,211,pt
49_1418,8427,pt
49_1420,17,pt
49_1435,455,pt
49_1436,7,pt
49_1448,32,pt
49_1457,8115,pt
49_1458,1554,pt
49_1461,44,pt
49_1477,7687,pt
49_1488,1154,pt
49_1494,1021,pt
49_1496,252,pt
49_1497,613,pt
49_1500,17559,pt
49_1514,125,pt
49_1523,2130,pt
49_1527,2094,pt
49_1534,1,pt
49_1543,2223,pt
49_1548,11610,pt
49_1556,2,pt
49_1557,423,pt
49_1559,463,pt
49_1560,2356,pt
49_1569,975,pt
4_2261,91,pt
4_2266,205,pt
4_2269,12,pt
4_2291,6,pt
4_2303,25,pt
4_2314,31,pt
4_2359,977,pt
4_2381,3698,pt
4_2385,3782,pt
4_2391,375,pt
4_2399,1629,pt
4_2405,922,pt
4_2417,3094,pt
50_1599,495,pt
50_1600,4774,pt
50_1606,830,pt
50_1609,331,pt
50_1619,5762,pt
50_1621,19,pt
50_1635,6639,pt
50_1636,350,pt
50_1637,76,pt
50_1645,15,pt
50_1654,133,pt
50_1673,192,pt
50_1683,79,pt
50_1695,3266,pt
50_1703,212,pt
50_1706,18866,pt
50_1717,40,pt
50_1729,2359,pt
50_1737,120,pt
50_1747,3684,pt
50_1751,2717,pt
50_1754,573,pt
50_1762,1941,pt
50_1765,13607,pt
5_2467,3207,pt
5_2477,25,pt
5_2490,17,pt
5_2499,87,pt
5_2513,1231,pt
5_2530,372,pt
5_2541,1335,pt
5_2566,12,pt
5_2571,169,pt
5_2585,8508,pt
5_2592,51,pt
5_2599,812,pt
6_2612,634,pt
6_2640,19209,pt
6_2647,109,pt
6_2654,214,pt
6_2664,4,pt
6_2668,11898,pt
6_2678,12,pt
6_2690,1698,pt
6_2706,101,pt
6_2707,2218,pt
6_2722,5738,pt
6_2739,12258,pt
6_2760,606,pt
6_2780,178,pt
7_2798,219,pt
7_2813,11652,pt
7_2842,1172,pt
7_2845,318,pt
7_2852,2224,pt
7_2856,7601,pt
7_2857,6637,pt
7_2869,2506,pt
7_2903,84,pt
7_2906,619,pt
7_2914,81,pt
7_2929,13122,pt
7_2936,9500,pt
7_2938,3257,pt
7_2945,324,pt
7_2947,17,pt
7_2949,88,pt
7_2963,321,pt
7_2976,97,pt
48_1339,0,pt
2_1984,0,pt
49_1425,0,pt
14_3687,0,pt
49_1501,0,pt
48_1271,0,pt
46_0832,0,pt
13_3572,0,pt
3_2099,0,pt
6_2728,0,pt
7_2833,0,pt
7_2934,0,pt
47_1101,0,pt
5_2539,0,pt
49_1572,0,pt
49_1533,0,pt
2_1965,0,pt
46_0971,0,pt
7_2925,0,pt
6_2609,0,pt
49_1571,0,pt
10_3011,0,pt
48_1270,0,pt
3_2216,0,pt
6_2657,0,pt
49_1454,0,pt
12_3269,0,pt
3_2072,0,pt
49_1578,0,pt
12_3299,0,pt
